Unnamed: 0,rating,review,clean_review
62,2,please provide catch up also I am giving 3 star because of taste.,please provide catch also giving star taste
63,1,very bad experience,bad experience
64,3,the order we rcd was very very cold and very very late,order rcd cold late
65,3,There was no oregano sachets,oregano sachets
66,1,Soft Pizza bread. Enjoyed Weekending.,soft pizza bread enjoyed weekending
67,5,good test,good test
68,5,it was nice but was not as good ,nice good
69,1,dont buy pizza from pizza hut horrible pizza restuarant.,dont buy pizza pizza hut horrible pizza restuarant
70,3,very nice dilivery boy and nice work ,nice dilivery boy nice work
71,3,The pizza was horrible the bread was stale could not eat the pizza stop making such bad pizzas,pizza horrible bread stale could eat pizza stop making bad pizzas
72,2,cheesy baked momos is very bad test and very tangy ,cheesy baked momos bad test tangy
73,5,Quality food,quality food
74,1,packing was so dumb it was unsealed and so unhealthy and unhygienic ,packing dumb unsealed unhealthy unhygienic
75,2,Pizza hut is wrost never order it and after ordering it i got another order and even after that there is not any issue…….,pizza hut wrost never order ordering got another order even issue
76,5,😊,
77,5,Pepsi not available why?,pepsi available
78,5,worst just wasted my money,worst wasted money
79,5,everytime good experience this time it's was not good it's Money waste ,everytime good experience time good money waste
80,5,"what is this..<br/>that's not even half a plate, ",thisbrthats even half plate
81,2,kitna oily tha ,kitna oily tha
82,1,Great,great
83,1,Great,great
84,5,not good not bad,good bad
85,2,nice ,nice
86,1,total careless restaurant not following order given by the customer please do not give further order for this restaurant,total careless restaurant following order given customer please give order restaurant
87,4,paav kio nhi bheja,paav kio nhi bheja
88,1,no paper dish,paper dish
89,1,noodles is very spicy can't to eat it... and chilli paneer was small bad I don't have it,noodles spicy cant eat chilli paneer small bad dont
90,1,"Worst taste, rice is burnt .<br/>after several calls restro didn't attended calls, no reply.<br/>Wouldn't recommend someone for this restro.",worst taste rice burnt brafter several calls restro didnt attended calls replybrwouldnt recommend someone restro
91,1,excellent ,excellent
92,1,nice man ,nice man
93,5,Please send full order then say how’s taste,please send full order say hows taste
94,4,thank you for corporation ,thank corporation
95,1,not good,good
96,1,very nice ,nice
97,3,Mouth Watering Food ,mouth watering food
98,5,Excellent Food ,excellent food
99,5,Delicious dish,delicious dish
100,4,"very bad taste taste less saltless ,they don't even accept food instructions, no cutlery and very costly ",bad taste taste less saltless dont even accept food instructions cutlery costly
101,1,osum test,osum test
102,2,spoon nahi diya hai  order k sath spoon dena cahiye  ,spoon nahi diya hai order k sath spoon dena cahiye
103,1,taste is very bad,taste bad
104,5,🌺,
105,5,send cutlery in future for convenience outdoor eating ,send cutlery future convenience outdoor eating
106,1,not fresh,fresh
107,4,awesome test ,awesome test
108,1,Full tasty paw vaji...,full tasty paw vaji
109,5,Good taste Good service Thanks for accepting free soup ,good taste good service thanks accepting free soup
110,4,Not yummy Not test full<br/>,yummy test fullbr
111,1,machaow soup didn't send,machaow soup didnt send
112,4,nice,nice
113,1,exilent ,exilent
114,1,hhh,hhh
115,4,exlinat deliver boy,exlinat deliver boy
116,5,not satisfied with  customer service ,satisfied customer service
117,5,bad food ,bad food
118,2,please follow customer's instructions properly. I have asked to not to make anything spicy but you guys made it too spicy.,please follow customers instructions properly asked make anything spicy guys made spicy
119,5,perfect ,perfect
120,5,supb,supb
121,1,Worthless,worthless
122,5,I have ordered grill cheese sandwich and there is no cheese ,ordered grill cheese sandwich cheese
123,5,good fast best,good fast best
124,1,I have received wrong parcel total fraud with me,received wrong parcel total fraud
125,1,Horrible… don’t ruin your name by giving this types of food,horrible dont ruin name giving types food
126,5,bakavash,bakavash
127,1,Want to return it,want return
128,1,i never expected they will send maked dosa<br/>,never expected send maked dosabr
129,1,delivery boy was very kind ,delivery boy kind
130,1,very smelly pav bhaji,smelly pav bhaji
131,2,Finger licking delicious as alwaysss !,finger licking delicious alwaysss
132,5,good ,good
133,1,order delivery before time.tks,order delivery timetks
134,4,bhai ishse ghatiya kuchh nahi khaya aaj tak,bhai ishse ghatiya kuchh nahi khaya aaj tak
135,5,ok,ok
136,2,not taeste,taeste
137,1,Don’t send cutlery,dont send cutlery
138,4,very good savis,good savis
139,3,Please follow the customer's instructions properly.,please follow customers instructions properly
140,5,best Peking on food ,best peking food
141,1,masala pav is not came in order so please next time take care for that,masala pav came order please next time take care
142,1,the mysore masala sabji was just so bad in taste it smells and tastes like shit,mysore masala sabji bad taste smells tastes like shit
143,1,Delicious Food ,delicious food
144,1,good service ,good service
145,1,worst pulao ever,worst pulao ever
146,1,Spoon Not available,spoon available
147,3,delivery boy good anf helpfull and very good beheviar.. i like her talking way and service.,delivery boy good anf helpfull good beheviar like talking way service
148,1,🥄 spoon nhi tha yahi hai buss<br/>wrna or sab msttt,spoon nhi tha yahi hai bussbrwrna sab msttt
149,5,masala pav aaya hai nay tu kisa star do,masala pav aaya hai nay tu kisa star
150,1,food was spicy,food spicy
151,1,late dilivery and food boht bakvas tha <br/>never order from this restaurant,late dilivery food boht bakvas tha brnever order restaurant
152,4,very bad food deleverd. ,bad food deleverd
153,1,"After Ravi has gone, the taste is going bad to… we are Ravi’s school friends… so we know the taste which was before…. Now it is really going worst…",ravi gone taste going bad ravis school friends know taste really going worst
154,1,Thanks. great food. love that you are take in account customer Notes for food. will order in future. Cheers!,thanks great food love take account customer notes food order future cheers
155,1,good,good
156,1,everything was good just a suggestion to please keep spoons and tissues as well ,everything good suggestion please keep spoons tissues well
157,4,so late delivery,late delivery
158,5,good ,good
159,5,good,good
160,5,plz read instruction ,plz read instruction
161,1,bhaji need to supply in containers...stop in plastic bag,bhaji need supply containersstop plastic bag
162,1,It is like rubber. Hard to chew... this is first time I am having a sandwich like this,like rubber hard chew first time sandwich like
163,1,They don't cancel order,dont cancel order
164,5,yummy....too good as usevl,yummytoo good usevl
165,1,I have ordered cold coffee and they delivered thik shake,ordered cold coffee delivered thik shake
166,5,6 bola tha fir bi only 1 pc ,bola tha fir bi pc
167,4,superb,superb
168,1,it's peanuts shake. other flavours are far much better.,peanuts shake flavours far much better
169,1,size of both item is very less ,size item less
170,1,your delivery is best but within 1 km range 70 rupees item turns 105 rupees is too much,delivery best within km range rupees item turns rupees much
171,1,sugar  ,sugar
172,5,very nice,nice
173,5,totally stale food.,totally stale food
174,5,tasty 😋,tasty
175,3,good 😊,good
176,5,Taste is so good.. 👍👌,taste good
177,5,जादा ठिक नही था,
178,5,अच्छा नही था,
179,3,bad,bad
180,1,osm delivery ,osm delivery
181,3,good,good
182,5,not good quality not good test,good quality good test
183,3,very laziz ,laziz
184,5,Best service by the delivery boy,best service delivery boy
185,1,pizza packing &amp; test is desi. coco excellent,pizza packing amp test desi coco excellent
186,5,Good,good
187,2,okk,okk
188,5,nice,nice
189,5,super ,super
190,1,No,
191,5,Good one ,good one
192,5,❤️‍🩹<br/>,br
193,5,it was okay<br/>beverage is not what I ordered and tastes really sweet,okaybrbeverage ordered tastes really sweet
194,5,test good,test good
195,1,not garam,garam
196,3,🙏🏻જય સ્વામિનારાયણ<br/><br/>બહુ સરસ કોલ્ડ કોકો ક્વોલિટી બહુ સારી આભાર ,brbr
197,5,Ordered with so much craze but highly disappointed,ordered much craze highly disappointed
198,1,find,find
199,4,Very Fast Delivery <br/><br/>Thanks Zomato,fast delivery brbrthanks zomato
200,5,good 👍,good
201,5,delivery is too slow by zomato,delivery slow zomato
202,4,I have ordered rajbhog thick shake with extra cashew. thay not extra cashew. and refuse to charge which I pay for extra cashew. also zomato not help me. very bad experience with mahalaxmi fast food and zomato. I tell my all friends not to use zomato and not order to mahalaxmi fast food. many other option we can. ,ordered rajbhog thick shake extra cashew thay extra cashew refuse charge pay extra cashew also zomato help bad experience mahalaxmi fast food zomato tell friends use zomato order mahalaxmi fast food many option
203,5,superb food best quality ,superb food best quality
204,5,give me my money back for which i have paid and item was missed in parcel in last order to gangour udhna,give money back paid item missed parcel last order gangour udhna
205,1,not good ,good
206,5,!,
207,1,Food was really nice - there were no chillies we enjoyed it 👍,food really nice chillies enjoyed
208,5,good service ,good service
209,5,late delivery,late delivery
210,5,I don’t usually write reviews but I was compelled to write one due to the awesome tasting food with great packaging and on time delivery! Really happy with the quantity of food too. Highly recommended!!!! ,dont usually write reviews compelled write one due awesome tasting food great packaging time delivery really happy quantity food highly recommended
211,2,Bad behaviyar,bad behaviyar
212,5,sent less number of breads this time. I will never give order again to Gangor ,sent less number breads time never give order gangor
213,1,very cold that and loss item,cold loss item
214,5,price is very extra,price extra
215,3,FOOD WAS SO YUMM,food yumm
216,1,Too gud,gud
217,1,Hot and spice amazing,hot spice amazing
218,5,good ,good
219,5,when u prepair n send the parcel to coustomer pls check wat r u sending,u prepair n send parcel coustomer pls check wat r u sending
220,5,Poor quality,poor quality
221,1,I puked after having it. ,puked
222,1,good 👍 👍 👍 👍 ,good
223,5,not bad ,bad
224,1,fantastic,fantastic
225,5,test is best,test best
226,1,good,good
227,5,not as expected,expected
228,5,nice,nice
229,5,always good,always good
230,3,Very bad delivery<br/>I have mentioned not to ring bell <br/>Delivery boy has ring the bell which is very bad,bad deliverybri mentioned ring bell brdelivery boy ring bell bad
231,3,exta kaju ka 40 piya lekin 10 rupey ke bheje 🤣makkhi chush,exta kaju ka piya lekin rupey ke bheje makkhi chush
232,5,not happy with my order and your service.. ,happy order service
233,5,the deliver guy didn't knock and opened the door directly,deliver guy didnt knock opened door directly
234,1,"taste and quality pehle jesa nhi,",taste quality pehle jesa nhi
235,1,good,good
236,5,tast is better &amp; service is very satisfied,tast better amp service satisfied
237,5,so small,small
238,2,thats diffrent from pic,thats diffrent pic
239,5,fast delivery,fast delivery
240,5,many wested bismillah is rong<br/>Amul /s chcho chips super many 120 rs<br/>party pack 750 ml,many wested bismillah rongbramul chcho chips super many rsbrparty pack ml
241,1,Too much sugar. jjnnnnnnndnxbdhdbdbhdhfbhfhdhdhhdhdhh,much sugar jjnnnnnnndnxbdhdbdbhdhfbhfhdhdhhdhdhh
242,1,superb ,superb
243,5,"lots of cream instead of kaju anjeer, kaju and anjeer thick shake taste was ok and bcz of pieces thick cream it was not giving proper taste.<br/>try to add more kaju and anjeer instead of cream",lots cream instead kaju anjeer kaju anjeer thick shake taste ok bcz pieces thick cream giving proper tastebrtry add kaju anjeer instead cream
244,1,nice,nice
245,1,good,good
246,5,osm quality,osm quality
247,3,The delivery was made before time.thanks,delivery made timethanks
248,5,the delivery executive was fabulous 😍🙏🏻,delivery executive fabulous
249,3,good 👍,good
250,5,wow,wow
251,5,delivery service very bad,delivery service bad
252,3,supar sarve,supar sarve
253,1,this was my condition of parcel,condition parcel
254,5,nice 👍🏼,nice
255,5,wow,wow
256,1,quantity was less then appear in order ...so I dnt think so much to prefer bismillah,quantity less appear order dnt think much prefer bismillah
257,5,your thick shake was like a milk shake.doesn't like it.👎,thick shake like milk shakedoesnt like
258,1,nice,nice
259,1,good job<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>,good jobbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbr
260,2,thx 😊,thx
261,1,Received both items melted and Sitafal was spoilt. can't consumed... Zomato is not ready to take any responsibility for the same..I believe they already know service of Bismilah still they have allowed them to serve us worst desert... Totally waste of money.. Big failure of Zomato as well as restaurant..,received items melted sitafal spoilt cant consumed zomato ready take responsibility samei believe already know service bismilah still allowed serve us worst desert totally waste money big failure zomato well restaurant
262,5,Taste like hell. Too bad Very Bad Not Good Quality,taste like hell bad bad good quality
263,5,sab ghuli thi abhi kya kare ek dam bekar item nikla,sab ghuli thi abhi kya kare ek dam bekar item nikla
264,5,not quality very late delivery not certified please service,quality late delivery certified please service
265,1,not good..seems to be plain vanilla ice cream with just a little amount of cookies..more of just whipped cream..,goodseems plain vanilla ice cream little amount cookiesmore whipped cream
266,5,food quantity was lace cause of scheme schedule otherwise u can enjoy more quantity on live at shop,food quantity lace cause scheme schedule otherwise u enjoy quantity live shop
267,1,I m buying from bismillah only every time but this time taste is very bad they are giving old or expiry thick shake,buying bismillah every time time taste bad giving old expiry thick shake
268,1,Bht bekar taste hai kabhi order ni Krna...Paisa barbaad ,bht bekar taste hai kabhi order ni krnapaisa barbaad
269,1,want to talk with team ASAP,want talk team asap
270,1,Great,great
271,5,it's has test of garlic ,test garlic
272,5,The taste was soo good and spicy just how I like my food,taste soo good spicy like food
273,4,teat saro hato.<br/>pan sandwich 🥪 pochi thai gayi hati tena karane maza nai aavi,teat saro hatobrpan sandwich pochi thai gayi hati tena karane maza nai aavi
274,3,Sandwich ka taste bhi accha nhi tha or 2-3 baal nikle,sandwich ka taste bhi accha nhi tha baal nikle
275,3,good ,good
276,1,Taste was very bad<br/>👎,taste badbr
277,1,Only kobiz and tometo but not testy<br/>And very hard bred<br/>West mony ,kobiz tometo testybrand hard bredbrwest mony
278,1,very nice ,nice
279,1,its awesome packing ,awesome packing
280,1,Taste not good...half cooked ,taste goodhalf cooked
281,2,again like last time a new issu food item were totally tasteless,like last time new issu food item totally tasteless
282,1,nice,nice
283,1,બાદ,
284,1,very test full and quentatiy item,test full quentatiy item
285,1,better ,better
286,5,very very very very nice food 😀🥑<br/>,nice food br
287,5,yaami,yaami
288,4,The food was totaly bad in  taste… fried rice to pura jal gya hua tha bekar tha… <br/>Can’t recommend to any one,food totaly bad taste fried rice pura jal gya hua tha bekar tha brcant recommend one
289,5,Good,good
290,2,osm test,osm test
291,4,food is very very bed chiter this shop <br/>don't oder in this shope vest money ,food bed chiter shop brdont oder shope vest money
292,5,Charging 95 for cheese sandwich and where is the cheese ? Fooling customer don’t order,charging cheese sandwich cheese fooling customer dont order
293,1,great,great
294,3,very low chesse like only vegetable plain sandwich restaurant take rate full and not give item quality,low chesse like vegetable plain sandwich restaurant take rate full give item quality
295,1,The restaurant service is not good and does not support.,restaurant service good support
296,1,bed quality of chapati and all item,bed quality chapati item
297,1,Not good,good
298,5,not good food very bad taste,good food bad taste
299,2,"it was good, only need to work on Roties ",good need work roties
300,3,not good ,good
301,1,okok,okok
302,5,good food,good food
303,3,Good ,good
304,1,bed food,bed food
305,5,yaha se khana mat order kariye<br/>total waste of money.<br/>itni gathiya quality ki chapati mene kabhi nahi dekh.<br/>kachha lot he aate ka.<br/>sabzi bhi puri ki puri dry he.<br/>kisi ko mar na he to yaha se sokh se khana mangvaye.,yaha se khana mat order kariyebrtotal waste moneybritni gathiya quality ki chapati mene kabhi nahi dekhbrkachha lot aate kabrsabzi bhi puri ki puri dry hebrkisi ko mar na yaha se sokh se khana mangvaye
306,1,"Very bad service roti delivered only 4 pcs and out of 10,  rice full provide sabji less delivered, packing not properly.",bad service roti delivered pcs rice full provide sabji less delivered packing properly
307,1,"chappatis are not properly baked. I swear, they are 99% raw. what the restaurant wants to do with customer, make them vomit?<br/><br/>even a dog deserves better food then this. shame on you, same on your morals",chappatis properly baked swear raw restaurant wants customer make vomitbrbreven dog deserves better food shame morals
308,2,good ,good
309,1,good food,good food
310,1,all food are partially prepared... waste of money...,food partially prepared waste money
311,5,good food and good service,good food good service
312,3,quality and quantity is enough one person ,quality quantity enough one person
313,5,good,good
314,5,mils no good quality very much oily food quality is not good,mils good quality much oily food quality good
315,1,Test Good But Service is Not Good ,test good service good
316,4,clining not clear ,clining clear
317,5,I don't like this type of food ,dont like type food
318,4,don't like it ,dont like
319,1,good ,good
320,1,Packing,packing
321,4,rote very small saiz,rote small saiz
322,1,super ,super
323,4,zometo n chandan bhojnalaya chit with me... ,zometo n chandan bhojnalaya chit
324,4,Bekar  khana  roti was uncooked not propely cooked ..Sara khana  waste huaa..and mera money bhi waste huaa..I want to full refund....<br/>Plastic was banned in india..why this restaurant using plastics for food packaging...<br/>Give me proper ans  for this...I'll wating for your reply,bekar khana roti uncooked propely cooked sara khana waste huaaand mera money bhi waste huaai want full refundbrplastic banned indiawhy restaurant using plastics food packagingbrgive proper ans thisill wating reply
325,1,very good ,good
326,4,"rice not well cooked , its seem like kachcha ",rice well cooked seem like kachcha
327,5,good ,good
328,1,this food may hurt our health... please refund my money.,food may hurt health please refund money
329,5,or pehle to roti aati thi abhi q puri hi aati he.,pehle roti aati thi abhi q puri hi aati
330,5,worsttttt,worsttttt
331,1,good ,good
332,1,good ,good
333,2,best,best
334,1,कतई बकचोद ,
335,5,very good ,good
336,5,good food,good food
337,1,good ,good
338,5,3class quality,class quality
339,1,not good,good
340,5,bad experience 2nd time ,bad experience nd time
341,5,they didn't send cutlary and roti.,didnt send cutlary roti
342,5,Make less qty and good quality food.,make less qty good quality food
343,1,please improve your sabzi,please improve sabzi
344,1,not good package. ordered dibba thali(box packing). but order delivered in single single box and loose plastic bags ,good package ordered dibba thalibox packing order delivered single single box loose plastic bags
345,2,delevary boy is not uniform and very bad behaviour ,delevary boy uniform bad behaviour
346,1,test bakwas tha,test bad tha
347,1,"Food was okay but when I receive it ,it was cold but overall it is very good ",food okay receive cold overall good
348,5,good service for delivery person 🤠,good service delivery person
349,5,burger was cold and sweet and they didn't gave ketchup. disappointing .,burger cold sweet didnt gave ketchup disappointing
350,1,bargar thanda ho chuka tha ,bargar thanda ho chuka tha
351,5,excellent,excellent
352,1,test of best ,test best
353,2,/THANX FOR DELEVERY MY ORDER ,thanx delevery order
354,5,good ,good
355,5,it's osume taste and delivery is in less time so thank you ,osume taste delivery less time thank
356,5,Took an hour to deliver Cold Burgers 🍔,took hour deliver cold burgers
357,5,sezwan ketchup is very little applied. only name is sezwan burgers. no sezwan test in burger ,sezwan ketchup little applied name sezwan burgers sezwan test burger
358,5,good ,good
359,2,some vaggis,vaggis
360,4,exeelent,exeelent
361,5,excellent 👍,excellent
362,5,normal Berger rate high size is small ,normal berger rate high size small
363,3,Nice bro <br/><br/>Ok,nice bro brbrok
364,5,good ,good
365,5,bhut hi bekar sawad tha  ,bhut hi bekar sawad tha
366,5,good,good
367,3,delivery is so slowly ,delivery slowly
368,3,ok ok ,ok ok
369,3,Hii,hii
370,5,plz dhayan de pese le rahe ho to wesa bana ke bhi do,plz dhayan de pese le rahe ho wesa bana ke bhi
371,2,Worst food🤬,worst food
372,1,to good,good
373,5,received damaged food,received damaged food
374,1,worst experience first delivery late and second 70 ruppes ka burger he lutere..<br/>nobody buy from Ajay... faltu food,worst experience first delivery late second ruppes ka burger luterebrnobody buy ajay faltu food
375,5,not hit baav bed quality ,hit baav bed quality
376,2,best service and good taste 👍,best service good taste
377,1,delayed and cold,delayed cold
378,1,good job,good job
379,5,ketchup is less ,ketchup less
380,3,super fantastic 👍👍,super fantastic
381,1,super fantastic 👍👍👍,super fantastic
382,2,very good service,good service
383,5,Amazing👍,amazing
384,3,the aize could be bigger for the price,aize could bigger price
385,4,Good guy👍,good guy
386,4,they didn't send the sauce,didnt send sauce
387,4,let deliver,let deliver
388,5,"Thanks u , Delivery in Time .",thanks u delivery time
389,5,Reasonable prices,reasonable prices
390,5,nic<br/>,nicbr
391,5,they don't provide me spoons 🥄,dont provide spoons
392,1,good,good
393,1,good ,good
394,1,goood,goood
395,5,love d it,love
396,4,all is Good,good
397,1,Please Send Order as per mentioned In order book,please send order per mentioned order book
398,5,both dishes delicious...🤤,dishes delicious
399,5,thank you 💖,thank
400,5,late delivery ,late delivery
401,5,First of all the restaurant look is verry beautiful and food is verry tasty daining was verry comfortable for us. Servise was verry clerly done by prahlad the steward every thing is good but one lack I found from the caption  verry mutch attitude and he has to be improve their way of speaking rowadey language. Give respect to every one this was my first time visite i love your food,first restaurant look verry beautiful food verry tasty daining verry comfortable us servise verry clerly done prahlad steward every thing good one lack found caption verry mutch attitude improve way speaking rowadey language give respect every one first time visite love food
402,4,delivery timing is good &amp; food is very swadist,delivery timing good amp food swadist
403,5,nice,nice
404,1,No trest forood on dinner <br/>No Paking good <br/>No test <br/>H,trest forood dinner brno paking good brno test brh
405,1,nice ,nice
406,1,Worst service,worst service
407,1,bad test ,bad test
408,1,ggooood,ggooood
409,5,low quantity ,low quantity
410,1,Very bad service,bad service
411,1,delivery boy is very good ,delivery boy good
412,5,Good,good
413,5,very nice food,nice food
414,2,gu,gu
415,5,very fast delivery 👏👏👏,fast delivery
416,5,veg kadi is spicy,veg kadi spicy
417,1,They have not provided glass for cold coffee and no spoon for eating of biryani <br/><br/>Very ridiculous,provided glass cold coffee spoon eating biryani brbrvery ridiculous
418,5,very nice 🙂🙂,nice
419,5,paner only 4 money vest karna hai paneer ni deta sahi grevi bhar deta hai poor quality.,paner money vest karna hai paneer ni deta sahi grevi bhar deta hai poor quality
420,1,very quick service,quick service
421,5,Taste is excellent and food was hygienic but one food is always very spicy,taste excellent food hygienic one food always spicy
422,1,i dont want to eat this.,dont want eat
423,5,only gravy no Manchurian,gravy manchurian
424,2,delicious,delicious
425,2,Good ,good
426,5,I need refund,need refund
427,3,Anil Bhai good job . perfectly time . ,anil bhai good job perfectly time
428,5,I expect better but it's okk taste is good ,expect better okk taste good
429,5,had a bad smell in chinese bhel,bad smell chinese bhel
430,1,"poor test not proper packing no fresh selad its poor like quality is not great, perfect quality, not looking good.  Test is not good and sent without packing.",poor test proper packing fresh selad poor like quality great perfect quality looking good test good sent without packing
431,1,some thing wrong with this dish..smell like taste as a medicine water used,thing wrong dishsmell like taste medicine water used
432,5,good ,good
433,1,Naam bade darshan chhote ,naam bade darshan chhote
434,1,good ,good
435,5,good ,good
436,4,nic,nic
437,2,veg. crispy to sweet &amp; crispy like manchurian<br/>,veg crispy sweet amp crispy like manchurianbr
438,3,good ,good
439,2,Yuuummmeeeee....😋,yuuummmeeeee
440,5,excellent,excellent
441,1,service very fast ,service fast
442,1,Cutlery dont sent by restaurant......,cutlery dont sent restaurant
443,5,good food,good food
444,2,good good,good good
445,4,I Have Asked For Fry Noodles They Told To Give 10 Rs Extra  My Bill Value Almost 1000+,asked fry noodles told give rs extra bill value almost
446,1,Not so good as compared,good compared
447,1,swit thi bekar,swit thi bekar
448,1,Best place to devour Chinese food. Panner recipes are top notch. Great service as always. Consistency with quality.,best place devour chinese food panner recipes top notch great service always consistency quality
449,4,"@ Hotelier sent an ordered food only, it's a very bad blunder mistake. ",hotelier sent ordered food bad blunder mistake
450,5,"when eat at your place it's look and taste delicious, bt whenever we made online order always it's bad taste and also not looking better.",eat place look taste delicious bt whenever made online order always bad taste also looking better
451,4,fantastic food 😋,fantastic food
452,5,cabbage salad not include ,cabbage salad include
